Servicer,Occupancy,PoolID,Original LTV,LOANSKEY,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Units,Scheduled Balance,Original Balance,Zip,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,,LPMI Fee Rate,abcde,City,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Seller,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,a dupe,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
Innit Mortgage,Primary,1,80,797895,605216,620000,0,No Insurance,N,695,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,484150,484150,95355,0,1/23/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,MODESTO,Y,N,Jumbo,120,360,240,1563.4,"1,563.40",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,563.40",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,79,797898,1265800,1265800,0,No Insurance,N,693,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,1000000,1000000,94582,0,1/19/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,3229.17,"3,229.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,229.17",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,80,797924,1240376,1244000,0,No Insurance,N,790,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,992300,992300,94583,0,1/12/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,3204.3,"3,204.30",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,204.30",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,62.5,799342,0,3200000,0,No Insurance,N,754,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Planned unit developments,1,2000000,2000000,98112,0,1/26/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,Washington,SEATTLE,Y,N,Jumbo,120,360,240,10833.33,"10,833.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"10,833.33",61,12,2/1/12,3/1/12,5,2,5,2.25,11.5,57,58,N,0
Innit Mortgage,Primary,1,80,800058,581933,582000,0,No Insurance,N,802,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,465546,465546,20147,0,1/26/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Virginia,ASHBURN,Y,N,Jumbo,120,360,240,2327.73,"2,327.73",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,327.73",61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
Innit Mortgage,Secondary,1,80,773338,635000,710000,0,No Insurance,N,770,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,1,508000,508000,21811,0,12/22/06,2/1/07,1/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,Y,N,Jumbo,120,360,240,2222.5,"2,222.50",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,222.50",61,12,1/1/12,2/1/12,5,2,5,2.25,10.25,56,57,N,0
Innit Mortgage,Primary,1,80,781437,585899,587000,0,No Insurance,N,708,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,468719,468719,98272,0,1/14/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MONROE,Y,N,Jumbo,120,360,240,1708.87,"1,708.87",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,708.87",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Primary,1,80,795909,561831,562000,0,No Insurance,N,801,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,449464,449464,98038,0,1/2/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,Y,N,Jumbo,120,360,240,1638.67,"1,638.67",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,638.67",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Secondary,1,80,795928,682205,690000,0,No Insurance,N,747,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,1,545764,545764,21811,0,1/11/07,3/1/07,2/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,Y,N,Jumbo,120,360,240,2387.72,"2,387.72",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,387.72",61,12,2/1/12,3/1/12,5,2,5,2.25,10.25,57,58,N,0
Innit Mortgage,Primary,1,80,797163,540000,545000,0,No Insurance,N,720,No Income Verifier,Y,5 Year ARM,Purchase,Planned unit developments,1,432000,432000,92508,0,1/19/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,Y,N,Jumbo,120,360,240,1575,"1,575.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,575.00",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Primary,1,73.45,797171,0,885000,0,No Insurance,N,716,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,1,650000,650000,95409,0,1/11/07,3/1/07,2/1/37,5/1/07,6.125,0.25,0.0105,0,California,SANTA ROSA,Y,N,Jumbo,120,360,240,3317.71,"3,317.71",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,317.71",61,12,2/1/12,3/1/12,5,2,5,2.25,11.13,57,58,N,0
Innit Mortgage,Primary,1,80,797174,639900,640000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,511920,511920,98038,0,1/10/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,Y,N,Jumbo,120,360,240,1866.38,"1,866.38",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,866.38",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Secondary,1,80,797179,637000,650000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,509600,509600,77554,0,1/17/07,3/1/07,2/1/37,5/1/07,6.375,0.25,0.0105,0,Texas,GALVESTON,Y,N,Jumbo,120,360,240,2707.25,"2,707.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,707.25",61,12,2/1/12,3/1/12,5,2,5,2.25,11.38,57,58,N,0
Innit Mortgage,Secondary,1,40.5,768908,0,1400000,0,No Insurance,N,678,No Income Verifier,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,1,567000,567000,93430,0,12/28/06,2/1/07,1/1/37,5/1/07,6,0.25,0.0105,0,California,CAYUCOS,Y,N,Jumbo,120,360,240,2835,"2,835.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,835.00",61,12,1/1/12,2/1/12,5,2,5,2.25,11,56,57,N,0
Innit Mortgage,Primary,1,80,768932,531916,532000,0,No Insurance,N,719,Full Documentation,N,5 Year ARM,Purchase,Condo,1,425412,425532,98011,0,12/20/06,2/1/07,1/1/37,5/1/07,5.5,0.25,0.0105,0,Washington,BOTHELL,Y,N,Jumbo,120,360,240,1950.36,"1,937.89",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,937.89",61,12,1/1/12,2/1/12,5,2,5,2.25,10.5,56,57,N,0
Innit Mortgage,Primary,1,80,770363,805506,806000,0,No Insurance,N,680,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,644400,644400,85249,0,12/6/06,2/1/07,1/1/37,5/1/07,6.25,0.25,0.0105,0,Arizona,CHANDLER,Y,N,Jumbo,120,360,240,3356.25,"3,356.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,356.25",61,12,1/1/12,2/1/12,5,2,5,2.25,11.25,56,57,N,0
Innit Mortgage,Secondary,1,80,772569,737000,900000,0,No Insurance,N,775,Full Documentation,N,5 Year ARM,Purchase,Condo,1,589596.68,589600,19939,0,12/28/06,2/1/07,1/1/37,5/1/07,5.75,0.25,0.0105,0,Delaware,DAGSBORO,Y,N,Jumbo,120,360,240,2825.17,"2,825.15",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,825.15",61,12,1/1/12,2/1/12,5,2,5,2.25,10.75,56,57,N,0
Innit Mortgage,Primary,1,80,772574,561975,562000,0,No Insurance,N,786,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,449577.27,449580,92223,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,BEAUMONT,Y,N,Jumbo,120,360,240,1639.09,"1,639.04",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,639.04",61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
Innit Mortgage,Primary,1,80,773330,550990,575000,0,No Insurance,N,765,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,440792,440792,92508,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,Y,N,Jumbo,120,360,240,1607.05,"1,607.05",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,607.05",61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
Innit Mortgage,Primary,1,80,797882,650000,697000,0,No Insurance,N,737,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,520000,520000,6001,0,1/19/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Connecticut,AVON,Y,N,Jumbo,120,360,240,2600,"2,597.88",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,597.88",61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
Innit Mortgage,Primary,1,80,799275,783610,800000,0,No Insurance,N,688,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,626887.21,626888,92336,0,1/11/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,California,FONTANA,Y,N,Jumbo,120,360,240,3265.04,"3,265.03",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,265.03",61,12,2/1/12,3/1/12,5,2,5,2.25,11.25,57,58,N,0
Innit Mortgage,Primary,1,66.81,799310,793297,875000,0,No Insurance,N,689,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,530000,530000,34120,0,1/12/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,NAPLES,Y,N,Jumbo,120,360,240,2594.79,"2,594.79",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,594.79",61,12,2/1/12,3/1/12,5,2,5,2.25,10.88,57,58,N,0
Innit Mortgage,Primary,1,80,797169,540000,570000,0,No Insurance,N,776,Full Documentation,Y,5 Year ARM,Purchase,Condo,1,432000,432000,33134,0,1/16/07,3/1/07,2/1/37,5/1/07,6.375,0.25,0.0105,0,Florida,CORAL GABLES,Y,N,Jumbo,120,360,240,2295,"2,295.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,295.00",61,12,2/1/12,3/1/12,5,2,5,2.25,11.38,57,58,N,0
Innit Mortgage,Primary,2,64.56,817341,0,680000,0,No Insurance,N,743,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Single Family Residence,1,439000,439000,85339,0,2/22/07,4/1/07,3/1/37,5/1/07,6.375,0.25,0.0105,0,Arizona,LAVEEN,Y,N,Jumbo,120,360,240,2332.19,"2,332.19",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,332.19",85,12,3/1/14,4/1/14,5,2,5,2.25,11.38,82,83,N,0
Innit Mortgage,Primary,1,80,809992,658808,663000,0,No Insurance,N,750,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,527046,527046,92563,0,2/6/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,MURRIETA,Y,N,Jumbo,120,360,240,1921.52,"1,921.52",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,921.52",61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
Innit Mortgage,Primary,1,80,809995,564990,575000,0,No Insurance,N,781,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,1,451992,451992,92563,0,2/8/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,MURRIETA,Y,N,Jumbo,120,360,240,1647.89,"1,647.88",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,647.88",61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
Innit Mortgage,Primary,1,80,810001,678197,710000,0,No Insurance,N,756,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,542557,542557,92336,0,2/13/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,FONTANA,Y,N,Jumbo,120,360,240,1978.07,"1,978.07",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,978.07",61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
Innit Mortgage,Primary,1,80,810033,583100,615000,0,No Insurance,N,788,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,466480,466480,98021,0,2/14/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,BOTHELL,Y,N,Jumbo,120,360,240,1700.71,"1,700.71",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,700.71",61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
Innit Mortgage,Primary,1,79.38,811954,0,650000,0,No Insurance,N,744,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,1,516000,516000,92315,0,2/21/07,4/1/07,3/1/37,5/1/07,6.5,0.25,0.0105,0,California,BIG BEAR LAKE,Y,N,Jumbo,120,360,240,2795,"2,795.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,795.00",61,12,3/1/12,4/1/12,5,2,5,2.25,11.5,58,59,N,0
