LOANSKEY,Servicer,PoolID,Original LTV,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Occupancy,Units,Scheduled Balance,Original Balance,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,Master Servicing Fee Rate,LPMI Fee Rate,State,City,Zip,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Seller,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
797916,Innit Mortgage,2,71.83,0,630000,0,No Insurance,N,786,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Planned unit developments,Primary,1,452500,452500,0,12/22/06,2/1/07,1/1/37,5/1/07,6.375,0.25,0.0105,0,Colorado,HIGHLANDS RANCH,80129,Y,N,Jumbo,120,360,240,2403.91,"2,403.91",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,1/1/14,2/1/14,5,2,5,2.25,11.38,80,81,N,0
797919,Innit Mortgage,2,80,0,540000,0,No Insurance,N,755,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Single Family Residence,Primary,1,431996.23,432000,0,1/10/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,California,PERRIS,92570,Y,N,Jumbo,120,360,240,2115,"2,114.96",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,10.88,81,82,N,0
799334,Innit Mortgage,2,79.99,638999,641000,0,No Insurance,N,738,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,Primary,1,511150,511150,0,1/5/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Arizona,CHANDLER,85249,Y,N,Jumbo,120,360,240,2555.75,"2,555.75",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11,81,82,N,0
800060,Innit Mortgage,2,50.01,999890,1000000,0,No Insurance,N,717,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,Primary,1,500000,500000,0,1/26/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,New Jersey,MONROE,8831,Y,N,Jumbo,120,360,240,2708.33,"2,708.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11.5,81,82,N,0
800063,Innit Mortgage,2,80,569950,570000,0,No Insurance,N,798,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,Primary,1,455960,455960,0,1/25/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,Washington,BOTHELL,98021,Y,N,Jumbo,120,360,240,2374.79,"2,374.79",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11.25,81,82,N,0
800074,Innit Mortgage,2,78.88,575561,576000,0,No Insurance,N,702,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,Primary,1,453983,453983,0,1/16/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,California,BEAUMONT,92223,Y,N,Jumbo,120,360,240,2364.49,"2,364.49",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,2/1/14,3/1/14,5,2,5,2.25,11.25,81,82,N,0
803700,Innit Mortgage,1,80,652000,666000,0,No Insurance,N,737,Full Documentation,N,5 Year ARM,Purchase,Condo,Primary,1,521600,521600,0,2/1/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,94582,Y,N,Jumbo,120,360,240,1684.33,"1,684.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
803711,Innit Mortgage,1,70.93,0,750000,0,No Insurance,N,676,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,Primary,1,532000,532000,0,2/2/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Colorado,BROOMFIELD,80020,Y,N,Jumbo,120,360,240,2604.58,"2,604.39",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,10.88,57,58,N,0
809148,Innit Mortgage,1,80,580000,584000,0,No Insurance,N,704,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,Secondary,1,464000,464000,0,2/7/07,4/1/07,3/1/37,5/1/07,6.5,0.25,0.0105,0,California,BIG BEAR LAKE,92315,Y,N,Jumbo,120,360,240,2513.33,"2,513.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,11.5,58,59,N,0
809154,Innit Mortgage,1,80,537990,538000,0,No Insurance,N,794,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,429925.96,430392,0,2/13/07,4/1/07,3/1/37,5/1/07,3.375,0.25,0.0105,0,Washington,MONROE,98272,Y,N,Jumbo,120,360,240,1210.48,"1,209.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,8.38,58,59,N,0
809159,Innit Mortgage,1,80,593610,593610,0,No Insurance,N,728,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,474828.47,474888,0,2/8/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,MODESTO,95355,Y,N,Jumbo,120,360,240,1533.49,"1,533.11",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
809175,Innit Mortgage,1,74.99,1063050,1078000,0,No Insurance,N,671,No Income Verifier,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,797048.5,797200,0,2/12/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,94582,Y,N,Jumbo,120,360,240,2574.29,"2,573.80",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
809183,Innit Mortgage,1,80,699490,745000,0,No Insurance,N,731,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,559592,559592,0,2/9/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,Florida,FT.MYERS,33908,Y,N,Jumbo,120,360,240,1807.02,"1,807.02",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
797884,Innit Mortgage,1,80,682500,703000,0,No Insurance,N,766,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,546000,546000,0,1/25/07,3/1/07,2/1/37,5/1/07,5.625,0.25,0.0105,0,Tennessee,FRANKLIN,37064,Y,N,Jumbo,120,360,240,2559.38,"2,559.37",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,10.63,57,58,N,0
797887,Innit Mortgage,1,79.99,613605,620000,0,No Insurance,N,778,Full Documentation,N,5 Year ARM,Purchase,Condo,Primary,1,489259.84,490850,0,1/9/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,94582,Y,N,Jumbo,120,360,240,1585.04,"1,579.90",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
797895,Innit Mortgage,1,80,605216,620000,0,No Insurance,N,695,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,484150,484150,0,1/23/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,MODESTO,95355,Y,N,Jumbo,120,360,240,1563.4,"1,563.40",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
797898,Innit Mortgage,1,79,1265800,1265800,0,No Insurance,N,693,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,1000000,1000000,0,1/19/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,94582,Y,N,Jumbo,120,360,240,3229.17,"3,229.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
797924,Innit Mortgage,1,80,1240376,1244000,0,No Insurance,N,790,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,992300,992300,0,1/12/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,94583,Y,N,Jumbo,120,360,240,3204.3,"3,204.30",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
799342,Innit Mortgage,1,62.5,0,3200000,0,No Insurance,N,754,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Planned unit developments,Primary,1,2000000,2000000,0,1/26/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,Washington,SEATTLE,98112,Y,N,Jumbo,120,360,240,10833.33,"10,833.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11.5,57,58,N,0
800058,Innit Mortgage,1,80,581933,582000,0,No Insurance,N,802,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,465546,465546,0,1/26/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Virginia,ASHBURN,20147,Y,N,Jumbo,120,360,240,2327.73,"2,327.73",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
773338,Innit Mortgage,1,80,635000,710000,0,No Insurance,N,770,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,Secondary,1,508000,508000,0,12/22/06,2/1/07,1/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,21811,Y,N,Jumbo,120,360,240,2222.5,"2,222.50",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,10.25,56,57,N,0
781437,Innit Mortgage,1,80,585899,587000,0,No Insurance,N,708,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,468719,468719,0,1/14/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MONROE,98272,Y,N,Jumbo,120,360,240,1708.87,"1,708.87",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
795909,Innit Mortgage,1,80,561831,562000,0,No Insurance,N,801,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,449464,449464,0,1/2/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,98038,Y,N,Jumbo,120,360,240,1638.67,"1,638.67",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
795928,Innit Mortgage,1,80,682205,690000,0,No Insurance,N,747,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,Secondary,1,545764,545764,0,1/11/07,3/1/07,2/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,21811,Y,N,Jumbo,120,360,240,2387.72,"2,387.72",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,10.25,57,58,N,0
797163,Innit Mortgage,1,80,540000,545000,0,No Insurance,N,720,No Income Verifier,Y,5 Year ARM,Purchase,Planned unit developments,Primary,1,432000,432000,0,1/19/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,92508,Y,N,Jumbo,120,360,240,1575,"1,575.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
797171,Innit Mortgage,1,73.45,0,885000,0,No Insurance,N,716,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,Primary,1,650000,650000,0,1/11/07,3/1/07,2/1/37,5/1/07,6.125,0.25,0.0105,0,California,SANTA ROSA,95409,Y,N,Jumbo,120,360,240,3317.71,"3,317.71",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11.13,57,58,N,0
797174,Innit Mortgage,1,80,639900,640000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,511920,511920,0,1/10/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,98038,Y,N,Jumbo,120,360,240,1866.38,"1,866.38",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
797179,Innit Mortgage,1,80,637000,650000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Secondary,1,509600,509600,0,1/17/07,3/1/07,2/1/37,5/1/07,6.375,0.25,0.0105,0,Texas,GALVESTON,77554,Y,N,Jumbo,120,360,240,2707.25,"2,707.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11.38,57,58,N,0
768908,Innit Mortgage,1,40.5,0,1400000,0,No Insurance,N,678,No Income Verifier,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,Secondary,1,567000,567000,0,12/28/06,2/1/07,1/1/37,5/1/07,6,0.25,0.0105,0,California,CAYUCOS,93430,Y,N,Jumbo,120,360,240,2835,"2,835.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,11,56,57,N,0
768932,Innit Mortgage,1,80,531916,532000,0,No Insurance,N,719,Full Documentation,N,5 Year ARM,Purchase,Condo,Primary,1,425412,425532,0,12/20/06,2/1/07,1/1/37,5/1/07,5.5,0.25,0.0105,0,Washington,BOTHELL,98011,Y,N,Jumbo,120,360,240,1950.36,"1,937.89",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,10.5,56,57,N,0
770363,Innit Mortgage,1,80,805506,806000,0,No Insurance,N,680,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,644400,644400,0,12/6/06,2/1/07,1/1/37,5/1/07,6.25,0.25,0.0105,0,Arizona,CHANDLER,85249,Y,N,Jumbo,120,360,240,3356.25,"3,356.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,11.25,56,57,N,0
772569,Innit Mortgage,1,80,737000,900000,0,No Insurance,N,775,Full Documentation,N,5 Year ARM,Purchase,Condo,Secondary,1,589596.68,589600,0,12/28/06,2/1/07,1/1/37,5/1/07,5.75,0.25,0.0105,0,Delaware,DAGSBORO,19939,Y,N,Jumbo,120,360,240,2825.17,"2,825.15",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,10.75,56,57,N,0
772574,Innit Mortgage,1,80,561975,562000,0,No Insurance,N,786,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,449577.27,449580,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,BEAUMONT,92223,Y,N,Jumbo,120,360,240,1639.09,"1,639.04",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
773330,Innit Mortgage,1,80,550990,575000,0,No Insurance,N,765,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,440792,440792,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,92508,Y,N,Jumbo,120,360,240,1607.05,"1,607.05",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
797882,Innit Mortgage,1,80,650000,697000,0,No Insurance,N,737,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,520000,520000,0,1/19/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Connecticut,AVON,6001,Y,N,Jumbo,120,360,240,2600,"2,597.88",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
799275,Innit Mortgage,1,80,783610,800000,0,No Insurance,N,688,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,626887.21,626888,0,1/11/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,California,FONTANA,92336,Y,N,Jumbo,120,360,240,3265.04,"3,265.03",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11.25,57,58,N,0
799310,Innit Mortgage,1,66.81,793297,875000,0,No Insurance,N,689,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,530000,530000,0,1/12/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,NAPLES,34120,Y,N,Jumbo,120,360,240,2594.79,"2,594.79",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,10.88,57,58,N,0
797169,Innit Mortgage,1,80,540000,570000,0,No Insurance,N,776,Full Documentation,Y,5 Year ARM,Purchase,Condo,Primary,1,432000,432000,0,1/16/07,3/1/07,2/1/37,5/1/07,6.375,0.25,0.0105,0,Florida,CORAL GABLES,33134,Y,N,Jumbo,120,360,240,2295,"2,295.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,2/1/12,3/1/12,5,2,5,2.25,11.38,57,58,N,0
817341,Innit Mortgage,2,64.56,0,680000,0,No Insurance,N,743,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Single Family Residence,Primary,1,439000,439000,0,2/22/07,4/1/07,3/1/37,5/1/07,6.375,0.25,0.0105,0,Arizona,LAVEEN,85339,Y,N,Jumbo,120,360,240,2332.19,"2,332.19",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,85,12,3/1/14,4/1/14,5,2,5,2.25,11.38,82,83,N,0
809992,Innit Mortgage,1,80,658808,663000,0,No Insurance,N,750,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,527046,527046,0,2/6/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,MURRIETA,92563,Y,N,Jumbo,120,360,240,1921.52,"1,921.52",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
809995,Innit Mortgage,1,80,564990,575000,0,No Insurance,N,781,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,Primary,1,451992,451992,0,2/8/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,MURRIETA,92563,Y,N,Jumbo,120,360,240,1647.89,"1,647.88",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
810001,Innit Mortgage,1,80,678197,710000,0,No Insurance,N,756,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,542557,542557,0,2/13/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,FONTANA,92336,Y,N,Jumbo,120,360,240,1978.07,"1,978.07",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
810033,Innit Mortgage,1,80,583100,615000,0,No Insurance,N,788,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,Primary,1,466480,466480,0,2/14/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,BOTHELL,98021,Y,N,Jumbo,120,360,240,1700.71,"1,700.71",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
811954,Innit Mortgage,1,79.38,0,650000,0,No Insurance,N,744,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,Primary,1,516000,516000,0,2/21/07,4/1/07,3/1/37,5/1/07,6.5,0.25,0.0105,0,California,BIG BEAR LAKE,92315,Y,N,Jumbo,120,360,240,2795,"2,795.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,11.5,58,59,N,0
811978,Innit Mortgage,1,80,718979,725000,0,No Insurance,N,698,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,Primary,1,575183,575183,0,2/22/07,4/1/07,3/1/37,5/1/07,4.375,0.25,0.0105,0,California,FONTANA,92336,Y,N,Jumbo,120,360,240,2097.02,"2,097.02",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,61,12,3/1/12,4/1/12,5,2,5,2.25,9.38,58,59,N,0
