rubbish -->,http://www.sec.gov/xxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,132,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1000383,0.0025,,,9999999,Group 1,1030006758,1,1,0,8,9,,,,,,2,0,0,,8,,,0,,20120925,800000,0.0325,180,180,20121101,8,1,0,0,,"789,528.78",0.0325,5621.35,20130101,0,,8,,,,,,,,,,,8,,,,,,,,,,,8,,,,,,,,0,,373,8,3,,1,,15,,3,1,,,8,,,,,,786,,,,,8,,,,,,,,0,,,8,22253.77,0,0,0,22253.77,22253.77,1,5,,3,8,,4,,323064.33,7755.17,0.348488,,,,8,Seattle,WA,98112,7,1,,1400000,3,20120912,8,,,,,,,,0.5714,0.5714,0,0,0,8,,,,,,,,,,,8,,,,,,,,,,15,8,,0,20271001,22253.77,0,0,0,8,0,0,Full,Two Years,Two Months
,9,1000383,0.0025,,,1000536,Group 1,1050004792,1,1,0,9,9,,,,,,1,4,0,,9,,,0,,20120906,534500,0.03625,180,180,20121101,9,1,0,0,,"527,761.78",0.03625,3853.94,20130101,0,,9,,,,,,,,,,,9,,,,,,,,,,,9,,,,,,,,0,,340,9,4,,1,,28,13,5,1,,,9,,,,,,713,,,,,9,,,,,,,,0,,,9,14443.67,3375,0,0,17818.67,17818.67,1,5,,3,9,,4,,139301.33,7264.05,0.407665,,,,9,WOODINVILLE,WA,98077,7,1,,820000,3,20120703,9,,,,,,,,0.6518,0.6518,0,0,0,9,,,,,,,,,,,9,,,,,,,,,,28,9,13,0,20271001,14443.67,0,0,3375,9,0,0,Full,Two Years,Two Months
,10,1000383,0.0025,,,1000536,Group 1,1050005552,1,1,0,10,9,,,,,,1,0,0,,10,,,0,,20120904,650000,0.03375,180,180,20121101,10,1,0,0,,"641,640.11",0.03375,4606.94,20130101,0,,10,,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,0,,277,10,2,,0,,8.5,,1.5,1,,,10,,,,,,778,,,,,10,,,,,,,,0,,,10,26608.5,0,0,0,26608.5,26608.5,1,5,,3,10,,4,,163487.07,11287.46,0.424205,,,,10,SAMMAMISH,WA,98075,1,1,,1300000,3,20120727,10,,,,,,,,0.5,0.5,0,0,0,10,,,,,,,,,,,10,,,,,,,,,,13,10,,0,20271001,26608.5,0,0,0,10,0,0,Full,Two Years,Two Months
,11,1000383,0.0025,,,1000536,Group 1,1050006234,1,1,0,11,9,,,,,,1,0,0,,11,,,0,,20120917,672400,0.03625,180,180,20121101,11,1,0,0,,"663,923.32",0.03625,4848.25,20130101,0,,11,,,,,,,,,,,11,,,,,,,,,,,11,,,,,,,,0,,256,11,2,,1,,29,,20,1,,,11,,,,,,801,,,,,11,,,,,,,,0,,,11,116173.15,0,0,0,116173.15,116173.15,1,5,,3,11,,4,,446229.95,15513.76,0.13354,,,,11,REDMOND,WA,98074,7,1,,1900000,3,20120821,11,,,,,,,,0.3538,0.3538,0,0,0,11,,,,,,,,,,,11,,,,,,,,,,29,11,,0,20271001,116173.15,0,0,0,11,0,0,Full,Two Years,Two Months
,12,1000383,0.0025,,,1000536,Group 1,1050006673,1,1,0,12,6,,,,,,1,4,0,,12,,,0,,20120927,479200,0.03375,180,180,20121101,12,1,0,0,,"473,036.83",0.03375,3396.38,20130101,0,,12,,,,,,,,,,,12,,,,,,,,,,,12,,,,,,,,0,,306,12,1,,0,,0,0.75,0,1,,,12,,,,,,748,,,,,12,,,,,,,,0,,,12,9583.34,12083.33,0,0,21666.67,21666.67,1,5,,3,12,,4,,32587.07,5475.6,0.25272,,,100,12,North Bend,WA,98045,1,1,599000,603000,3,20120815,12,,,,,,,,0.8,0.8,0,0,0,12,,,,,,,,,,,12,,,,,,,,,,10,12,10,0,20271001,9583.34,0,0,12083.33,12,0,0,Full,Two Years,Two Months
,13,1000383,0.0025,,,1000536,Group 1,1050006956,1,1,0,13,7,,,,,,1,0,0,,13,,,0,,20121016,500000,0.035,180,180,20121201,13,1,0,0,,"495,761.67",0.035,3574.41,20130101,0,,13,,,,,,,,,,,13,,,,,,,,,,,13,,,,,,,,0,,291,13,3,,0,,12,,0,1,,,13,,,,,,784,,,,,13,,,,,,,,0,,,13,16666.68,0,37595.06,0,16666.68,54261.74,1,5,,3,13,,4,,1573146.26,12578.63,0.231814,,,100,13,MERCER ISLAND,WA,98040,7,2,1025000,1075000,3,20120924,13,,,,,,,,0.4878,0.4878,0,0,0,13,,,,,,,,,,,13,,,,,,,,,,15,13,,0,20271101,16666.68,0,37595.06,0,13,0,0,Full,Two Years,Two Months
,14,1000383,0.0025,,,1008498,Group 1,1150001687,2,1,0,14,9,,,,,,2,0,0,,14,,,0,,20120117,1693000,0.04375,360,360,20120301,14,1,0,0,,"1,665,398.05",0.04375,8452.9,20130101,0,39,14,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,14,0.09375,0.0225,,,,,,,,,14,,,,,,,,0,,431,14,2,,1,,10,10,18,1,20121212,,14,,,,,,734,723,,3,,14,,,,,,,,0,,,14,0,0,23934,0,0,23934,1,4,,3,14,,4,,370465,10491.92,0.438369,,,,14,MERCER ISLAND,WA,98040,1,1,,2450000,3,20111126,14,,,,,,,,0.691,0.691,0,0,0,14,,,,,,,,,,,14,,,,,,,,,,10,14,10,0,20420201,0,0,0,0,14,0,0,Full,Two Years,Two Months
,15,1000383,0.0025,,,1008498,Group 1,1150005173,1,1,0,15,3,,,,,,2,0,0,,15,,,0,,20120828,690000,0.035,180,180,20121001,15,1,0,0,,"678,268.03",0.035,4932.69,20130101,0,,15,,,,,,,,,,,15,,,,,,,,,,,15,,,,,,,,0,,127,15,4,,0,,13,20,13,1,,,15,,,,,,780,,,,,15,,,,,,,,0,,,15,17178,7719,0,0,24897,24897,1,5,,3,15,,4,,330674.34,9876.07,0.396677,,,,15,KIRKLAND,WA,98033,1,1,,1150000,3,20120808,15,,,,,,,,0.6,0.6,0,0,0,15,,,,,,,,,,,15,,,,,,,,,,13,15,20,0,20270901,17178,0,0,7719,15,0,0,Full,Two Years,Two Months
,16,1000383,0.0025,,,9999999,Group 1,1160006884,1,1,0,16,9,,,,,,1,4,0,,16,,,0,,20121005,560000,0.03875,180,180,20121201,16,1,0,0,,"555,394.72",0.03875,4107.26,20130101,0,,16,,,,,,,,,,,16,,,,,,,,,,,16,,,,,,,,0,,62,16,3,,1,,55,40,0,1,,,16,,,,,,773,,,,,16,,,,,,,,0,,,16,50733.88,0,0,0,50733.88,50733.88,1,5,,3,16,,4,,899088.93,20907.84,0.412108,,,,16,Kirkland,WA,98033,7,2,,1981000,3,20120907,16,,,,,,,,0.2826,0.2826,0,0,0,16,,,,,,,,,,,16,,,,,,,,,,55,16,40,0,20271101,50733.88,0,0,0,16,0,0,Full,Two Years,Two Months
,17,1000383,0.0025,,,9999999,Group 1,1220006393,1,1,0,17,9,,,,,,1,0,0,,17,,,0,,20121003,816800,0.03875,180,180,20121201,17,1,0,0,,"810,082.88",0.03875,5990.73,20130101,0,,17,,,,,,,,,,,17,,,,,,,,,,,17,,,,,,,,0,,289,17,1,,0,,20,5,10,1,,,17,,,,,,770,,,,,17,,,,,,,,0,,,17,0,0,32485,0,0,32485,1,5,,3,17,,4,,49231.91,8191.58,0.252165,,,,17,Kirkland,WA,98033,1,1,,1150000,3,20120710,17,,,,,,,,0.7102,0.7102,0,0,0,17,,,,,,,,,,,17,,,,,,,,,,26,17,5,0,20271101,0,0,32485,0,17,0,0,Full,Two Years,Two Months
,18,1000383,0.0025,,,1001105,Group 1,1250006369,1,1,0,18,9,,,,,,1,0,0,,18,,,0,,20120919,730000,0.035,180,180,20121101,18,1,0,0,,"720,442.05",0.035,5218.64,20130101,0,,18,,,,,,,,,,,18,,,,,,,,,,,18,,,,,,,,0,,425,18,3,,0,,0,,9,1,,,18,,,,,,807,,,,,18,,,,,,,,0,,,18,35427.34,0,0,0,35427.34,35427.34,1,5,,3,18,,4,,10565905.72,6684.75,0.188689,,,,18,Issaquah,WA,98027,1,1,,1400000,3,20120816,18,,,,,,,,0.5214,0.5214,0,0,0,18,,,,,,,,,,,18,,,,,,,,,,0,18,,0,20271001,35427.34,0,0,0,18,0,0,Full,Two Years,Two Months
,19,1000383,0.0025,,,9999999,Group 1,1360007448,1,1,0,19,7,,,,,,1,0,0,,19,,,0,,20121001,850000,0.03375,180,180,20121101,19,1,0,0,,"839,067.83",0.03375,6024.46,20130101,0,,19,,,,,,,,,,,19,,,,,,,,,,,19,,,,,,,,0,,21,19,1,,0,,1.5,,0,1,,,19,,,,,,800,,,,,19,,,,,,,,0,,,19,40000,0,0,0,40000,40000,1,5,,3,19,,4,,2676407.73,8221.44,0.205536,,,100,19,BELLEVUE,WA,98006,1,1,1695000,1550000,3,20120908,19,,,,,,,,0.5483,0.5483,0,0,0,19,,,,,,,,,,,19,,,,,,,,,,30,19,,0,20271001,40000,0,0,0,19,0,0,Full,Two Years,Two Months
,20,1000383,0.0025,,,9999999,Group 1,1540006767,1,1,0,20,9,,,,,,1,4,0,,20,,,0,,20121001,930000,0.03375,180,180,20121101,20,1,0,0,,918038.89,0.03375,6591.47,20130101,0,,20,,,,,,,,,,,20,,,,,,,,,,,20,,,,,,,,0,,73,20,1,,0,,9,,4,1,,,20,,,,,,774,,,,,20,,,,,,,,0,,,20,43169.42,0,0,0,43169.42,43169.42,1,5,,3,20,,4,,138358.18,9235.67,0.21394,,,,20,Bellevue,WA,98006,4,1,,1500000,3,20120702,20,,,,,,,,0.62,0.62,0,0,0,20,,,,,,,,,,,20,,,,,,,,,,15,20,,0,20271001,43169.42,0,0,0,20,0,0,Full,Two Years,Two Months
,21,1000383,0.0025,,,9999999,Group 1,1750002994,2,1,0,21,9,,,,,,1,0,0,,21,,,0,,20120227,712800,0.04625,360,360,20120401,21,1,0,0,,703463.83,0.04625,3664.79,20130101,0,39,21,45,0.0225,3,0.00125,120,0.05,0.05,12,0.02,0.02,21,0.09625,0.0225,,,,,,,,,21,,,,,,,,0,,330,21,1,,0,,14,11,4,1,20121212,,21,,,,,,757,736,,3,,21,,,,,,,,0,,,21,12500,3750,0,0,16250,16250,1,5,,3,21,,4,,180995.22,6747.98,0.41526,,,,21,Bellevue,WA,98004,7,1,,1100000,3,20120126,21,,,,,,,,0.648,0.648,0,0,0,21,,,,,,,,,,,21,,,,,,,,,,18,21,12,0,20420301,12500,0,0,3750,21,0,0,Full,Two Years,Two Months
,22,1000383,0.0025,,,9999999,Group 1,1750005794,2,1,0,22,7,,,,,,1,0,0,,22,,,0,,20120807,900000,0.03375,360,360,20121001,22,1,0,0,,894185.06,0.03375,3978.87,20130101,0,39,22,45,0.0225,3,0.00125,60,0.05,0.05,12,0.02,0.02,22,0.08375,0.0225,,,,,,,,,22,,,,,,,,0,,516,22,1,,0,,4,,0,1,,,22,,,,,,762,,,,,22,,,,,,,,0,,,22,29620,0,0,0,29620,29620,1,5,,3,22,,4,,322348.81,9271.83,0.313026,,,100,22,YARROW POINT,WA,98004,1,1,1200000,1230000,3,20120723,22,,,,,,,,0.75,0.75,0,0,0,22,,,,,,,,,,,22,,,,,,,,,,13,22,,0,20420901,29620,0,0,0,22,0,0,Full,Two Years,Two Months
,23,1002338,0.0025,,,1002338,Group 1,3000002108,2,1,0,23,9,,,,,,1,0,0,,23,,,430000,,20111221,855000,0.031,360,360,20120201,23,1,120,0,,855000,0.031,2208.75,20130101,0,35,23,45,0.0145,3,0.00125,60,0.05,0.05,1,0,0,23,0.081,0.0285,,,,,,,,,23,,,,,,99,99,48,,96,23,2,,0,,19,,20,1,20121212,,23,,,,,,778,800,,3,,23,,,,,,,,0,,,23,29166.67,0,27083.34,0,29166.67,56250.01,0,5,,2,23,,4,,1075866.5,21375,0.38,,,,23,CORVALLIS,OR,97330,1,1,,1650000,3,20111121,23,,,,,,,,0.7787,0.5181,0,0,0,23,,,,,,,,,,,23,,,,,,,,,,36,23,,430000,20420101,29166.67,27083.34,0,0,23,0,0,Full,Two Years,Two Months
,24,1000634,0.0025,,,1000634,Group 1,3500007188,1,1,0,24,6,,,,,,1,4,0,,24,,,0,,20120622,619500,0.0325,120,120,20120801,24,1,0,0,,593066.31,0.0325,6053.69,20130101,0,,24,,,,,,,,,,,24,,,,,,,,,,,24,,,,,,,,0,,389,24,0,,1,,26.2,,0,1,20120928,,24,,,,,,793,799,,2,,24,,,,,,,,0,,,24,45422,0,0,0,45422,45422,1,5,,3,24,,4,,1577106.97,6795.13,0.149566,,,100,24,Portland,OR,97229,1,1,885000,885000,3,20120514,24,,,,,,,,0.7,0.7,0,0,0,24,,,,,,,,,,,24,,,,,,,,,,25,24,,0,20220701,45422.38,0,0,0,24,0,0,Full,Two Years,Two Months
,25,1000634,0.0025,,,1000634,Group 1,3500007189,1,1,0,25,9,,,,,,1,0,0,,25,,,0,,20120612,521600,0.0325,120,120,20120801,25,1,0,0,,499343.66,0.0325,5097.02,20130101,0,,25,,,,,,,,,,,25,,,,,,,,,,,25,,,,,,,,0,,235,25,1,,0,,20.4,,2,1,20120928,,25,,,,,,782,770,,2,,25,,,,,,,,0,,,25,119060,0,0,0,119060,119060,1,5,,3,25,,4,,835043.55,31038.94,0.284876,,,0,25,Portland,OR,97229,7,1,,652000,3,20120517,25,,,,,,,,0.8,0.8,0,0,0,25,,,,,,,,,,,25,,,,,,,,,,20.4,25,,0,20220701,119059.99,0,0,0,25,0,0,Full,Two Years,Two Months
,26,1000634,0.0025,,,1000634,Group 1,3500007190,1,1,0,26,9,,,,,,1,0,0,,26,,,0,,20120608,1000000,0.03625,120,120,20120801,26,1,0,0,,958126.37,0.03625,9947.25,20130101,0,,26,,,,,,,,,,,26,,,,,,,,,,,26,,,,,,,,0,,272,26,1,,1,,20.4,,1.2,1,20120928,,26,,,,,,773,775,,2,,26,,,,,,,,0,,,26,45744,0,0,0,45744,45744,1,5,,3,26,,4,,301855.88,13238.31,0.32272,,,0,26,Portland,OR,97210,4,1,,1385000,3,20120505,26,,,,,,,,0.722,0.722,0,0,0,26,,,,,,,,,,,26,,,,,,,,,,20.4,26,,0,20220701,45744,0,0,0,26,0,0,Full,Two Years,Two Months
